sample,Hash,nReads
PG_Al_15_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,204
CI_Al_6_May_C_r3,b3b7552ad4cb087f2533f45f05c840503002203e,14784
PG_Al_15_Aug_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,41
CI_Al_1_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,22565
PG_Al_10_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2286
CI_Al_15_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,3334
PG_Al_15_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2727
CI_Al_15_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,1256
CI_Al_6_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,12668
PG_Al_10_May_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,2673
CI_Al_3_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,363
CI_Al_10_Aug_B_r3,b3b7552ad4cb087f2533f45f05c840503002203e,3019
CI_Al_10_May_A_r3,b3b7552ad4cb087f2533f45f05c840503002203e,7624
CI_Al_15_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,12490
PG_Al_3_May_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,23513
PG_Al_15_May_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,6421
CI_Al_6_Aug_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,5
PG_Al_6_May_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,10155
PG_Al_6_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,3
PG_Al_10_Aug_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,7
PG_Al_3_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,15117
PG_Al_1_May_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,16729
PG_Al_1_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,175
PG_Al_1_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,15076
PG_Al_1_May_C_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,12535
PG_Al_6_May_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,7946
PG_Al_15_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,11149
PG_Al_6_May_A_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,4015
CI_Al_6_Aug_B_r3,00e781be779c8a2dae5a668f596ea43db3a9cedb,4172
